"Credit Card Owner's Name","Nome do Dono do Cartão"
"Installments","Parcelas"
"sender hash invalid.","Sender Hash inválido."
"items invalid quantity.","Quantidade inválida de itens."
"currency is required.","Moeda é obrigatório."
"sender email is required.","E-mail do comprador obrigatório."
"sender name is required.","Nome do comprador obrigatório."
"sender area code is required.","Código de área do comprador obrigatório."
"sender phone is required.","Telefone do comprador obrigatório."
"shipping address postal code is required.","CEP do comprador obrigatório."
"shipping address street is required.","Endereço de entrega do comprador obrigatório."
"shipping address number is required.","Número do endereço de entrega obrigatório."
"shipping address district is required.","Bairro para entrega obrigatório."
"shipping address city is required.","Cidade de entrega é obrigatório."
"shipping address state is required.","Estado para entrega obrigatório."
"shipping address country is required.","País é obrigatório."
"credit card token is required.","Token do cartão de crédito é obrigatório."
"installment quantity is required.","Número de parcelas é obrigatório."
"installment value is required.","Valor da parcela é obrigatório."
"credit card holder name is required.","Nome do portador do cartão é obrigatório."
"credit card holder cpf is required.","CPF do dono do cartão é obrigatório."
"credit card holder birthdate is required.","Data de Nascimento do dono do cartão é obrigatório."
"credit card holder area code is required.","DDD do dono do cartão é obrigatório."
"credit card holder phone is required.","Telefone do dono do cartão é obrigatório."
"billing address postal code is required.","CEP do endereço de cobrança é obrigatório."
"billing address street is required.","Rua do endereço de cobrança é obrigatório."
"billing address number is required.","Número do endereço de cobrança é obrigatório."
"billing address district is required.","Bairro do endereço de cobrança é obrigatório."
"billing address city is required.","Cidade do endereço de cobrança é obrigatório."
"billing address state is required.","Estado do endereço de cobrança é obrigatório."
"billing address country is required.","País do endereço de cobrança é obrigatório."
"item id is required.","ID do item é obrigatório."
"item description is required.","Descrição do item é obrigatório."
"item quantity is required.","Quantidade do item é obrigatório."
"item amount is required.","Valor do item é obrigatório."
"sender is related to receiver.","Comprador está relacionado com o recebedor."
"payment method unavailable.","Método de pagamento indisponível."
"invalid credit card data.","Dados do cartão inválido."
"sender hash invalid.","Identificação do comprador(hash) inválido."
"credit card brand is not accepted.","Bandeira do cartão não é aceita."
"payment mode invalid value, valid values are default and gateway.","PaymentMode inváido, valores válidos são default e gateway."
"payment method invalid value, valid values are creditCard, boleto e eft.","PaymentMethod inválido, valores válidos são creditCard, boleto e eft"
"shipping cost was provided, shipping address must be complete.","Custo de envio foi fornecido, endereço de envio deve estar completo."
"sender information was provided, email must be provided too.","Informações do comprador foram fornecidas, email também deve ser fornecido."
"credit card holder is incomplete.","Dados do dono do cartão incompletos."
"shipping address information was provided, sender email must be provided too.","Endereço de entrega foi informado, o e-mail do comprador também deve ser fornecido."
"eft bank is required.","Banco para EFT deve ser informado."
"eft bank is not accepted.","Banco não é aceito."
"sender is blocked.","Comprador bloqueado."
"credit card token invalid.","Token de cartão de crédito inválido."
"Credit Card Owner's CPF","CPF do Dono do Cartão"
"Credit Card Number","Número do Cartão"
"Your CPF","Seu CPF"
"Send new order email","Enviar e-mail de novo pedido"
